path_idx	node	event	event_count	C_ancestor	C_derived	Migration	BigL	hetA	fixed	hetB	hetAB
0	0	C_ancestor	1	1	1	2	1	2	0	2	0
0	1	C_derived	1	0	1	1	1	0	1	2	0
0	5	Migration	1	0	0	1	1	0	2	0	0
0	13	C_derived	1	0	1	0	1	0	2	0	0
0	22	BigL	1	0	0	0	1	0	0	0	0
0	LCA	LCA	0	0	0	0	0	0	0	0	0
1	0	C_ancestor	1	1	1	2	1	2	0	2	0
1	1	C_derived	1	0	1	1	1	0	1	2	0
1	5	Migration	1	0	0	1	1	0	2	0	0
1	13	BigL	1	0	1	0	1	0	2	0	0
1	14	C_ancestor	1	1	0	0	0	0	2	0	0
1	LCA	LCA	0	0	0	0	0	0	0	0	0
2	0	C_ancestor	1	1	1	2	1	2	0	2	0
2	1	C_derived	1	0	1	1	1	0	1	2	0
2	5	BigL	1	0	0	1	1	0	2	0	0
2	14	C_ancestor	1	1	0	0	0	0	2	0	0
2	LCA	LCA	0	0	0	0	0	0	0	0	0
3	0	C_ancestor	1	1	1	2	1	2	0	2	0
3	1	Migration	1	0	1	1	1	0	1	2	0
3	6	C_derived	2	0	3	0	1	0	1	2	0
3	15	C_derived	1	0	1	0	1	0	0	2	0
3	22	BigL	1	0	0	0	1	0	0	0	0
3	LCA	LCA	0	0	0	0	0	0	0	0	0
4	0	C_ancestor	1	1	1	2	1	2	0	2	0
4	1	Migration	1	0	1	1	1	0	1	2	0
4	6	C_derived	2	0	3	0	1	0	1	2	0
4	15	BigL	1	0	1	0	1	0	0	2	0
4	16	C_ancestor	1	1	0	0	0	0	0	2	0
4	LCA	LCA	0	0	0	0	0	0	0	0	0
5	0	C_ancestor	1	1	1	2	1	2	0	2	0
5	1	Migration	1	0	1	1	1	0	1	2	0
5	6	C_derived	1	0	3	0	1	0	1	2	0
5	13	C_derived	1	0	1	0	1	0	2	0	0
5	22	BigL	1	0	0	0	1	0	0	0	0
5	LCA	LCA	0	0	0	0	0	0	0	0	0
6	0	C_ancestor	1	1	1	2	1	2	0	2	0
6	1	Migration	1	0	1	1	1	0	1	2	0
6	6	C_derived	1	0	3	0	1	0	1	2	0
6	13	BigL	1	0	1	0	1	0	2	0	0
6	14	C_ancestor	1	1	0	0	0	0	2	0	0
6	LCA	LCA	0	0	0	0	0	0	0	0	0
7	0	C_ancestor	1	1	1	2	1	2	0	2	0
7	1	Migration	1	0	1	1	1	0	1	2	0
7	6	BigL	1	0	3	0	1	0	1	2	0
7	7	C_ancestor	2	3	0	0	0	0	1	2	0
7	16	C_ancestor	1	1	0	0	0	0	0	2	0
7	LCA	LCA	0	0	0	0	0	0	0	0	0
8	0	C_ancestor	1	1	1	2	1	2	0	2	0
8	1	Migration	1	0	1	1	1	0	1	2	0
8	6	BigL	1	0	3	0	1	0	1	2	0
8	7	C_ancestor	1	3	0	0	0	0	1	2	0
8	14	C_ancestor	1	1	0	0	0	0	2	0	0
8	LCA	LCA	0	0	0	0	0	0	0	0	0
9	0	C_ancestor	1	1	1	2	1	2	0	2	0
9	1	BigL	1	0	1	1	1	0	1	2	0
