origin	idx	label	A&B	C=A	C=A&B	C=B	M=A>B
20	0	A=[a,a];B=[b,b]	1	1	0	1	2
20	1	A=[a,a];B=[b+b]	1	1	0	0	2
20	25	A=[a+a];B=[b+b]	1	0	0	0	1
20	18	A&B=[a+a,b+b]	0	0	1	0	0
20	20	A&B=[a+a,b+b]	0	0	0	0	0
20	0	A=[a,a];B=[b,b]	1	1	0	1	2
20	1	A=[a,a];B=[b+b]	1	1	0	0	2
20	17	A&B=[a,a,b+b]	0	0	3	0	0
20	18	A&B=[a+a,b+b]	0	0	1	0	0
20	20	A&B=[a+a,b+b]	0	0	0	0	0
20	0	A=[a,a];B=[b,b]	1	1	0	1	2
20	1	A=[a,a];B=[b+b]	1	1	0	0	2
20	17	A&B=[a,a,b+b]	0	0	3	0	0
20	19	A&B=[a,a+b+b]	0	0	1	0	0
20	20	A&B=[a,a+b+b]	0	0	0	0	0
20	0	A=[a,a];B=[b,b]	1	1	0	1	2
20	1	A=[a,a];B=[b+b]	1	1	0	0	2
20	6	A=[a];B=[a,b+b]	1	0	0	1	1
20	16	A=[a];B=[a+b+b]	1	0	0	0	1
20	19	A&B=[a,a+b+b]	0	0	1	0	0
20	20	A&B=[a,a+b+b]	0	0	0	0	0
20	0	A=[a,a];B=[b,b]	1	1	0	1	2
20	1	A=[a,a];B=[b+b]	1	1	0	0	2
20	6	A=[a];B=[a,b+b]	1	0	0	1	1
20	17	A&B=[a,a,b+b]	0	0	3	0	0
20	18	A&B=[a+a,b+b]	0	0	1	0	0
20	20	A&B=[a+a,b+b]	0	0	0	0	0
20	0	A=[a,a];B=[b,b]	1	1	0	1	2
